"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"40565","1","1","4.53","2012-04-25 18:21:14.765"
"40566","2","1","514.0","2012-04-25 18:21:14.765"
"40567","3","1","530.0","2012-04-25 18:21:14.765"
"40568","1","1","4.68","2012-04-25 18:21:24.821"
"40569","2","1","512.0","2012-04-25 18:21:24.821"
"40570","3","1","544.0","2012-04-25 18:21:24.822"
"40571","1","1","4.6","2012-04-25 18:21:34.873"
"40572","2","1","514.0","2012-04-25 18:21:34.873"
"40573","3","1","533.0","2012-04-25 18:21:34.873"
"40574","1","1","4.68","2012-04-25 18:21:44.929"
"40575","2","1","513.0","2012-04-25 18:21:44.93"
"40576","3","1","532.0","2012-04-25 18:21:44.93"
"40577","1","1","4.84","2012-04-25 18:21:55.023"
"40578","2","1","512.0","2012-04-25 18:21:55.024"
"40579","3","1","533.0","2012-04-25 18:21:55.024"
"40580","1","1","4.76","2012-04-25 18:22:05.047"
"40581","2","1","513.0","2012-04-25 18:22:05.063"
"40582","3","1","536.0","2012-04-25 18:22:05.063"
"40583","1","1","4.84","2012-04-25 18:22:15.103"
"40584","2","1","514.0","2012-04-25 18:22:15.104"
"40585","3","1","536.0","2012-04-25 18:22:15.104"
"40586","1","1","4.99","2012-04-25 18:22:25.241"
"40587","2","1","512.0","2012-04-25 18:22:25.241"
"40588","3","1","539.0","2012-04-25 18:22:25.241"
"40589","1","1","4.91","2012-04-25 18:22:35.477"
"40590","2","1","514.0","2012-04-25 18:22:35.477"
"40591","3","1","543.0","2012-04-25 18:22:35.477"
"40592","1","1","4.99","2012-04-25 18:22:45.283"
"40593","2","1","513.0","2012-04-25 18:22:45.283"
"40594","3","1","541.0","2012-04-25 18:22:45.283"
"40595","1","1","5.07","2012-04-25 18:22:55.405"
"40596","2","1","512.0","2012-04-25 18:22:55.405"
"40597","3","1","535.0","2012-04-25 18:22:55.405"
"40598","1","1","5.07","2012-04-25 18:23:05.398"
"40599","2","1","513.0","2012-04-25 18:23:05.399"
"40600","3","1","535.0","2012-04-25 18:23:05.399"
"40601","1","1","5.07","2012-04-25 18:23:15.457"
"40602","2","1","513.0","2012-04-25 18:23:15.457"
"40603","3","1","529.0","2012-04-25 18:23:15.457"
"40604","1","1","4.99","2012-04-25 18:23:25.59"
"40605","2","1","514.0","2012-04-25 18:23:25.59"
"40606","3","1","543.0","2012-04-25 18:23:25.59"
"40607","1","1","5.07","2012-04-25 18:23:35.577"
"40608","2","1","513.0","2012-04-25 18:23:35.583"
"40609","3","1","535.0","2012-04-25 18:23:35.584"
"40610","1","1","5.07","2012-04-25 18:23:45.638"
"40611","2","1","513.0","2012-04-25 18:23:45.638"
"40612","3","1","529.0","2012-04-25 18:23:45.639"
"40613","1","1","5.14","2012-04-25 18:23:55.75"
"40614","2","1","512.0","2012-04-25 18:23:55.751"
"40615","3","1","536.0","2012-04-25 18:23:55.751"
"40616","1","1","5.14","2012-04-25 18:24:05.833"
"40617","2","1","512.0","2012-04-25 18:24:05.833"
"40618","3","1","546.0","2012-04-25 18:24:05.833"
"40619","1","1","4.99","2012-04-25 18:24:15.856"
"40620","2","1","514.0","2012-04-25 18:24:15.856"
"40621","3","1","544.0","2012-04-25 18:24:15.856"
"40622","1","1","5.14","2012-04-25 18:24:25.908"
"40623","2","1","512.0","2012-04-25 18:24:25.908"
"40624","3","1","536.0","2012-04-25 18:24:25.908"
"40625","1","1","5.07","2012-04-25 18:24:35.949"
"40626","2","1","512.0","2012-04-25 18:24:35.95"
"40627","3","1","536.0","2012-04-25 18:24:35.95"
"40628","1","1","4.99","2012-04-25 18:24:46.025"
"40629","2","1","513.0","2012-04-25 18:24:46.026"
"40630","3","1","536.0","2012-04-25 18:24:46.026"
"40631","1","1","4.99","2012-04-25 18:24:56.055"
"40632","2","1","514.0","2012-04-25 18:24:56.055"
"40633","3","1","541.0","2012-04-25 18:24:56.055"
"40634","1","1","5.07","2012-04-25 18:25:06.219"
"40635","2","1","512.0","2012-04-25 18:25:06.226"
"40636","3","1","543.0","2012-04-25 18:25:06.226"
"40637","1","1","4.99","2012-04-25 18:25:16.171"
"40638","2","1","513.0","2012-04-25 18:25:16.172"
"40639","3","1","548.0","2012-04-25 18:25:16.172"
"40640","1","1","4.99","2012-04-25 18:25:26.229"
"40641","2","1","512.0","2012-04-25 18:25:26.229"
"40642","3","1","547.0","2012-04-25 18:25:26.23"
"40643","1","1","4.99","2012-04-25 18:25:36.348"
"40644","2","1","514.0","2012-04-25 18:25:36.348"
"40645","3","1","540.0","2012-04-25 18:25:36.348"
"40646","1","1","5.14","2012-04-25 18:25:46.43"
"40647","2","1","512.0","2012-04-25 18:25:46.43"
"40648","3","1","541.0","2012-04-25 18:25:46.431"
"40649","1","1","5.14","2012-04-25 18:25:56.408"
"40650","2","1","513.0","2012-04-25 18:25:56.408"
"40651","3","1","537.0","2012-04-25 18:25:56.408"
"40652","1","1","5.07","2012-04-25 18:26:06.478"
"40653","2","1","513.0","2012-04-25 18:26:06.479"
"40654","3","1","531.0","2012-04-25 18:26:06.479"
"40655","1","1","5.14","2012-04-25 18:26:16.53"
"40656","2","1","513.0","2012-04-25 18:26:16.531"
"40657","3","1","536.0","2012-04-25 18:26:16.531"
"40658","1","1","5.22","2012-04-25 18:26:26.642"
"40659","2","1","512.0","2012-04-25 18:26:26.642"
"40660","3","1","534.0","2012-04-25 18:26:26.642"
"40661","1","1","5.07","2012-04-25 18:26:36.717"
"40662","2","1","514.0","2012-04-25 18:26:36.735"
"40663","3","1","531.0","2012-04-25 18:26:36.735"
"40664","1","1","5.14","2012-04-25 18:26:46.709"
"40665","2","1","513.0","2012-04-25 18:26:46.709"
"40666","3","1","528.0","2012-04-25 18:26:46.709"
"40667","1","1","5.14","2012-04-25 18:26:56.79"
"40668","2","1","513.0","2012-04-25 18:26:56.79"
"40669","3","1","527.0","2012-04-25 18:26:56.791"
"40670","1","1","5.22","2012-04-25 18:27:06.843"
"40671","2","1","513.0","2012-04-25 18:27:06.843"
"40672","3","1","530.0","2012-04-25 18:27:06.843"
"40673","1","1","5.14","2012-04-25 18:27:16.927"
"40674","2","1","512.0","2012-04-25 18:27:16.927"
"40675","3","1","539.0","2012-04-25 18:27:16.928"
"40676","1","1","5.3","2012-04-25 18:27:26.98"
"40677","2","1","512.0","2012-04-25 18:27:26.981"
"40678","3","1","542.0","2012-04-25 18:27:26.981"
"40679","1","1","5.22","2012-04-25 18:27:37.017"
"40680","2","1","513.0","2012-04-25 18:27:37.017"
"40681","3","1","542.0","2012-04-25 18:27:37.018"
"40682","1","1","5.14","2012-04-25 18:27:47.055"
