"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"15005","1","1","4.76","2012-04-19 15:57:15.7"
"15006","2","1","512.0","2012-04-19 15:57:15.7"
"15007","3","1","909.0","2012-04-19 15:57:15.7"
"15008","1","1","4.84","2012-04-19 15:57:25.766"
"15009","2","1","511.0","2012-04-19 15:57:25.774"
"15010","3","1","908.0","2012-04-19 15:57:25.774"
"15011","1","1","4.84","2012-04-19 15:57:35.817"
"15012","2","1","513.0","2012-04-19 15:57:35.818"
"15013","3","1","902.0","2012-04-19 15:57:35.818"
"15014","1","1","4.91","2012-04-19 15:57:45.861"
"15015","2","1","513.0","2012-04-19 15:57:45.861"
"15016","3","1","906.0","2012-04-19 15:57:45.861"
"15017","1","1","4.91","2012-04-19 15:57:55.951"
"15018","2","1","513.0","2012-04-19 15:57:55.951"
"15019","3","1","902.0","2012-04-19 15:57:55.951"
"15020","1","1","5.07","2012-04-19 15:58:06.003"
"15021","2","1","513.0","2012-04-19 15:58:06.003"
"15022","3","1","903.0","2012-04-19 15:58:06.003"
"15023","1","1","5.14","2012-04-19 15:58:16.089"
"15024","2","1","512.0","2012-04-19 15:58:16.089"
"15025","3","1","905.0","2012-04-19 15:58:16.089"
"15026","1","1","5.07","2012-04-19 15:58:26.17"
"15027","2","1","513.0","2012-04-19 15:58:26.171"
"15028","3","1","902.0","2012-04-19 15:58:26.171"
"15029","1","1","5.3","2012-04-19 15:58:36.153"
"15030","2","1","512.0","2012-04-19 15:58:36.153"
"15031","3","1","909.0","2012-04-19 15:58:36.153"
"15032","1","1","5.14","2012-04-19 15:58:46.273"
"15033","2","1","513.0","2012-04-19 15:58:46.273"
"15034","3","1","902.0","2012-04-19 15:58:46.273"
"15035","1","1","5.3","2012-04-19 15:58:56.269"
"15036","2","1","513.0","2012-04-19 15:58:56.283"
"15037","3","1","903.0","2012-04-19 15:58:56.283"
"15038","1","1","5.3","2012-04-19 15:59:06.347"
"15039","2","1","513.0","2012-04-19 15:59:06.347"
"15040","3","1","902.0","2012-04-19 15:59:06.347"
"15041","1","1","5.38","2012-04-19 15:59:16.386"
"15042","2","1","512.0","2012-04-19 15:59:16.386"
"15043","3","1","909.0","2012-04-19 15:59:16.387"
"15044","1","1","5.22","2012-04-19 15:59:26.436"
"15045","2","1","513.0","2012-04-19 15:59:26.436"
"15046","3","1","904.0","2012-04-19 15:59:26.436"
"15047","1","1","5.38","2012-04-19 15:59:36.493"
"15048","2","1","511.0","2012-04-19 15:59:36.494"
"15049","3","1","907.0","2012-04-19 15:59:36.494"
"15050","1","1","5.3","2012-04-19 15:59:46.582"
"15051","2","1","513.0","2012-04-19 15:59:46.582"
"15052","3","1","909.0","2012-04-19 15:59:46.582"
"15053","1","1","5.3","2012-04-19 15:59:56.634"
"15054","2","1","513.0","2012-04-19 15:59:56.634"
"15055","3","1","906.0","2012-04-19 15:59:56.634"
"15056","1","1","5.3","2012-04-19 16:00:06.668"
"15057","2","1","513.0","2012-04-19 16:00:06.668"
"15058","3","1","905.0","2012-04-19 16:00:06.668"
"15059","1","1","5.3","2012-04-19 16:00:16.729"
"15060","2","1","513.0","2012-04-19 16:00:16.729"
"15061","3","1","907.0","2012-04-19 16:00:16.729"
"15062","1","1","5.45","2012-04-19 16:00:26.795"
"15063","2","1","512.0","2012-04-19 16:00:26.803"
"15064","3","1","908.0","2012-04-19 16:00:26.803"
"15065","1","1","5.38","2012-04-19 16:00:36.877"
"15066","2","1","512.0","2012-04-19 16:00:36.877"
"15067","3","1","903.0","2012-04-19 16:00:36.878"
"15068","1","1","5.38","2012-04-19 16:00:46.99"
"15069","2","1","512.0","2012-04-19 16:00:46.99"
"15070","3","1","909.0","2012-04-19 16:00:46.99"
"15071","1","1","5.45","2012-04-19 16:00:56.961"
"15072","2","1","512.0","2012-04-19 16:00:56.961"
"15073","3","1","907.0","2012-04-19 16:00:56.961"
"15074","1","1","5.38","2012-04-19 16:01:07.033"
"15075","2","1","512.0","2012-04-19 16:01:07.034"
"15076","3","1","905.0","2012-04-19 16:01:07.034"
"15077","1","1","5.38","2012-04-19 16:01:17.129"
"15078","2","1","512.0","2012-04-19 16:01:17.129"
"15079","3","1","902.0","2012-04-19 16:01:17.129"
"15080","1","1","5.45","2012-04-19 16:01:27.148"
"15081","2","1","512.0","2012-04-19 16:01:27.209"
"15082","3","1","908.0","2012-04-19 16:01:27.209"
"15083","1","1","5.45","2012-04-19 16:01:37.232"
"15084","2","1","512.0","2012-04-19 16:01:37.232"
"15085","3","1","904.0","2012-04-19 16:01:37.233"
"15086","1","1","5.38","2012-04-19 16:01:47.264"
"15087","2","1","513.0","2012-04-19 16:01:47.264"
"15088","3","1","903.0","2012-04-19 16:01:47.264"
"15089","1","1","5.3","2012-04-19 16:01:57.34"
"15090","2","1","514.0","2012-04-19 16:01:57.354"
"15091","3","1","903.0","2012-04-19 16:01:57.354"
"15092","1","1","5.3","2012-04-19 16:02:07.387"
"15093","2","1","513.0","2012-04-19 16:02:07.387"
"15094","3","1","907.0","2012-04-19 16:02:07.387"
"15095","1","1","5.38","2012-04-19 16:02:17.472"
"15096","2","1","513.0","2012-04-19 16:02:17.473"
"15097","3","1","902.0","2012-04-19 16:02:17.473"
"15098","1","1","5.45","2012-04-19 16:02:27.529"
"15099","2","1","512.0","2012-04-19 16:02:27.53"
"15100","3","1","906.0","2012-04-19 16:02:27.53"
"15101","1","1","5.38","2012-04-19 16:02:37.578"
"15102","2","1","511.0","2012-04-19 16:02:37.578"
"15103","3","1","905.0","2012-04-19 16:02:37.578"
"15104","1","1","5.38","2012-04-19 16:02:47.645"
"15105","2","1","512.0","2012-04-19 16:02:47.645"
"15106","3","1","905.0","2012-04-19 16:02:47.645"
"15107","1","1","5.3","2012-04-19 16:02:57.742"
"15108","2","1","512.0","2012-04-19 16:02:57.742"
"15109","3","1","908.0","2012-04-19 16:02:57.742"
"15110","1","1","5.38","2012-04-19 16:03:07.731"
"15111","2","1","512.0","2012-04-19 16:03:07.731"
"15112","3","1","907.0","2012-04-19 16:03:07.731"
"15113","1","1","5.3","2012-04-19 16:03:17.841"
"15114","2","1","512.0","2012-04-19 16:03:17.841"
"15115","3","1","907.0","2012-04-19 16:03:17.841"
"15116","1","1","5.3","2012-04-19 16:03:27.84"
"15117","2","1","512.0","2012-04-19 16:03:27.85"
"15118","3","1","902.0","2012-04-19 16:03:27.851"
"15119","1","1","5.3","2012-04-19 16:03:37.898"
"15120","2","1","512.0","2012-04-19 16:03:37.898"
"15121","3","1","903.0","2012-04-19 16:03:37.898"
"15122","1","1","5.22","2012-04-19 16:03:47.956"
"15123","2","1","513.0","2012-04-19 16:03:47.957"
"15124","3","1","902.0","2012-04-19 16:03:47.957"
"15125","1","1","5.22","2012-04-19 16:03:58.018"
"15126","2","1","512.0","2012-04-19 16:03:58.018"
"15127","3","1","909.0","2012-04-19 16:03:58.018"
"15128","1","1","5.22","2012-04-19 16:04:08.099"
"15129","2","1","513.0","2012-04-19 16:04:08.1"
"15130","3","1","903.0","2012-04-19 16:04:08.1"
"15131","1","1","5.22","2012-04-19 16:04:18.133"
"15132","2","1","513.0","2012-04-19 16:04:18.133"
"15133","3","1","902.0","2012-04-19 16:04:18.133"
"15134","1","1","5.14","2012-04-19 16:04:28.191"
"15135","2","1","513.0","2012-04-19 16:04:28.191"
"15136","3","1","907.0","2012-04-19 16:04:28.192"
"15137","1","1","5.3","2012-04-19 16:04:38.259"
"15138","2","1","512.0","2012-04-19 16:04:38.259"
"15139","3","1","905.0","2012-04-19 16:04:38.259"
"15140","1","1","5.3","2012-04-19 16:04:48.342"
"15141","2","1","512.0","2012-04-19 16:04:48.342"
"15142","3","1","903.0","2012-04-19 16:04:48.343"
"15143","1","1","5.22","2012-04-19 16:04:58.366"
"15144","2","1","513.0","2012-04-19 16:04:58.372"
"15145","3","1","902.0","2012-04-19 16:04:58.373"
"15146","1","1","5.22","2012-04-19 16:05:08.447"
