"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"244","1","1","5.45","2012-04-14 17:42:49.213"
"245","2","1","513.0","2012-04-14 17:42:49.346"
"246","3","1","475.0","2012-04-14 17:42:49.347"
"247","1","1","5.53","2012-04-14 17:42:56.956"
"248","2","1","513.0","2012-04-14 17:42:56.956"
"249","3","1","478.0","2012-04-14 17:42:56.957"
"250","1","1","5.76","2012-04-14 17:43:07.081"
"251","2","1","513.0","2012-04-14 17:43:07.081"
"252","3","1","485.0","2012-04-14 17:43:07.082"
"253","1","1","5.76","2012-04-14 17:43:17.071"
"254","2","1","514.0","2012-04-14 17:43:17.071"
"255","3","1","477.0","2012-04-14 17:43:17.072"
"256","1","1","5.92","2012-04-14 17:43:27.164"
"257","2","1","512.0","2012-04-14 17:43:27.165"
"258","3","1","477.0","2012-04-14 17:43:27.165"
"259","1","1","5.92","2012-04-14 17:43:37.199"
"260","2","1","512.0","2012-04-14 17:43:37.199"
"261","3","1","474.0","2012-04-14 17:43:37.2"
"262","1","1","5.92","2012-04-14 17:43:47.326"
"263","2","1","513.0","2012-04-14 17:43:47.338"
"264","3","1","468.0","2012-04-14 17:43:47.339"
"265","1","1","6.07","2012-04-14 17:43:57.342"
"266","2","1","512.0","2012-04-14 17:43:57.343"
"267","3","1","461.0","2012-04-14 17:43:57.343"
"268","1","1","6.15","2012-04-14 17:44:07.395"
"269","2","1","513.0","2012-04-14 17:44:07.395"
"270","3","1","465.0","2012-04-14 17:44:07.396"
"271","1","1","6.15","2012-04-14 17:44:17.446"
"272","2","1","513.0","2012-04-14 17:44:17.446"
"273","3","1","465.0","2012-04-14 17:44:17.447"
"274","1","1","6.07","2012-04-14 17:44:27.477"
"275","2","1","513.0","2012-04-14 17:44:27.477"
"276","3","1","463.0","2012-04-14 17:44:27.478"
"277","1","1","6.15","2012-04-14 17:44:37.55"
"278","2","1","512.0","2012-04-14 17:44:37.55"
"279","3","1","464.0","2012-04-14 17:44:37.55"
"280","1","1","6.15","2012-04-14 17:44:47.631"
"281","2","1","513.0","2012-04-14 17:44:47.632"
"282","3","1","459.0","2012-04-14 17:44:47.632"
"283","1","1","6.15","2012-04-14 17:44:57.653"
"284","2","1","513.0","2012-04-14 17:44:57.654"
"285","3","1","462.0","2012-04-14 17:44:57.654"
"286","1","1","6.07","2012-04-14 17:45:07.708"
"287","2","1","513.0","2012-04-14 17:45:07.709"
"288","3","1","457.0","2012-04-14 17:45:07.709"
"289","1","1","6.07","2012-04-14 17:45:17.769"
"290","2","1","513.0","2012-04-14 17:45:17.775"
"291","3","1","459.0","2012-04-14 17:45:17.785"
"292","1","1","6.07","2012-04-14 17:45:27.869"
"293","2","1","512.0","2012-04-14 17:45:27.87"
"294","3","1","454.0","2012-04-14 17:45:27.87"
"295","1","1","6.07","2012-04-14 17:45:38.491"
"296","2","1","512.0","2012-04-14 17:45:38.492"
"297","3","1","451.0","2012-04-14 17:45:38.492"
"298","1","1","6.07","2012-04-14 17:45:54.208"
"299","2","1","512.0","2012-04-14 17:45:54.208"
"300","3","1","453.0","2012-04-14 17:45:54.209"
"301","1","1","6.07","2012-04-14 17:46:01.114"
"302","2","1","512.0","2012-04-14 17:46:01.115"
"303","3","1","451.0","2012-04-14 17:46:01.115"
"304","1","1","6.07","2012-04-14 17:46:08.106"
"305","2","1","513.0","2012-04-14 17:46:08.106"
"306","3","1","453.0","2012-04-14 17:46:08.107"
"307","1","1","6.07","2012-04-14 17:46:18.115"
"308","2","1","512.0","2012-04-14 17:46:18.116"
"309","3","1","452.0","2012-04-14 17:46:18.117"
"310","1","1","6.07","2012-04-14 17:46:28.238"
"311","2","1","512.0","2012-04-14 17:46:28.239"
"312","3","1","453.0","2012-04-14 17:46:28.239"
"313","1","1","5.92","2012-04-14 17:46:38.237"
"314","2","1","513.0","2012-04-14 17:46:38.239"
"315","3","1","439.0","2012-04-14 17:46:38.239"
"316","1","1","6.0","2012-04-14 17:46:48.321"
"317","2","1","512.0","2012-04-14 17:46:48.331"
"318","3","1","445.0","2012-04-14 17:46:48.331"
"319","1","1","5.92","2012-04-14 17:46:58.348"
"320","2","1","513.0","2012-04-14 17:46:58.348"
"321","3","1","443.0","2012-04-14 17:46:58.349"
"322","1","1","6.0","2012-04-14 17:47:08.412"
"323","2","1","512.0","2012-04-14 17:47:08.412"
"324","3","1","438.0","2012-04-14 17:47:08.412"
"325","1","1","5.92","2012-04-14 17:47:18.465"
"326","2","1","513.0","2012-04-14 17:47:18.466"
"327","3","1","439.0","2012-04-14 17:47:18.467"
"328","1","1","6.0","2012-04-14 17:47:28.551"
"329","2","1","513.0","2012-04-14 17:47:28.552"
"330","3","1","437.0","2012-04-14 17:47:28.552"
"331","1","1","6.0","2012-04-14 17:47:38.582"
"332","2","1","512.0","2012-04-14 17:47:38.582"
"333","3","1","435.0","2012-04-14 17:47:38.583"
"334","1","1","6.0","2012-04-14 17:47:48.64"
"335","2","1","513.0","2012-04-14 17:47:48.64"
"336","3","1","425.0","2012-04-14 17:47:48.641"
"337","1","1","6.0","2012-04-14 17:47:58.701"
"338","2","1","512.0","2012-04-14 17:47:58.702"
"339","3","1","429.0","2012-04-14 17:47:58.702"
"340","1","1","6.0","2012-04-14 17:48:08.846"
"341","2","1","513.0","2012-04-14 17:48:08.846"
"342","3","1","421.0","2012-04-14 17:48:08.847"
"343","1","1","5.92","2012-04-14 17:48:18.838"
"344","2","1","513.0","2012-04-14 17:48:18.846"
