"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"37471","1","1","3.99","2012-04-24 17:45:05.585"
"37472","2","1","512.0","2012-04-24 17:45:05.591"
"37473","3","1","697.0","2012-04-24 17:45:05.591"
"37474","1","1","3.91","2012-04-24 17:45:15.655"
"37475","2","1","513.0","2012-04-24 17:45:15.655"
"37476","3","1","693.0","2012-04-24 17:45:15.655"
"37477","1","1","3.99","2012-04-24 17:45:25.696"
"37478","2","1","513.0","2012-04-24 17:45:25.696"
"37479","3","1","693.0","2012-04-24 17:45:25.696"
"37480","1","1","3.99","2012-04-24 17:45:35.77"
"37481","2","1","512.0","2012-04-24 17:45:35.77"
"37482","3","1","694.0","2012-04-24 17:45:35.771"
"37483","1","1","4.06","2012-04-24 17:45:45.819"
"37484","2","1","512.0","2012-04-24 17:45:45.819"
"37485","3","1","692.0","2012-04-24 17:45:45.819"
"37486","1","1","4.14","2012-04-24 17:45:55.987"
"37487","2","1","512.0","2012-04-24 17:45:55.987"
"37488","3","1","691.0","2012-04-24 17:45:55.987"
"37489","1","1","4.06","2012-04-24 17:46:05.935"
"37490","2","1","513.0","2012-04-24 17:46:05.935"
"37491","3","1","686.0","2012-04-24 17:46:05.935"
"37492","1","1","4.14","2012-04-24 17:46:16.032"
"37493","2","1","513.0","2012-04-24 17:46:16.032"
"37494","3","1","686.0","2012-04-24 17:46:16.032"
"37495","1","1","4.14","2012-04-24 17:46:26.046"
"37496","2","1","512.0","2012-04-24 17:46:26.046"
"37497","3","1","684.0","2012-04-24 17:46:26.046"
"37498","1","1","4.14","2012-04-24 17:46:36.135"
"37499","2","1","513.0","2012-04-24 17:46:36.143"
"37500","3","1","681.0","2012-04-24 17:46:36.143"
"37501","1","1","4.22","2012-04-24 17:46:46.165"
"37502","2","1","512.0","2012-04-24 17:46:46.165"
"37503","3","1","683.0","2012-04-24 17:46:46.165"
"37504","1","1","4.22","2012-04-24 17:46:56.246"
"37505","2","1","512.0","2012-04-24 17:46:56.246"
"37506","3","1","680.0","2012-04-24 17:46:56.246"
"37507","1","1","4.22","2012-04-24 17:47:06.307"
"37508","2","1","513.0","2012-04-24 17:47:06.307"
"37509","3","1","677.0","2012-04-24 17:47:06.307"
"37510","1","1","4.29","2012-04-24 17:47:16.414"
"37511","2","1","512.0","2012-04-24 17:47:16.414"
"37512","3","1","678.0","2012-04-24 17:47:16.415"
"37513","1","1","4.29","2012-04-24 17:47:26.436"
"37514","2","1","512.0","2012-04-24 17:47:26.436"
"37515","3","1","677.0","2012-04-24 17:47:26.437"
"37516","1","1","4.29","2012-04-24 17:47:36.471"
"37517","2","1","512.0","2012-04-24 17:47:36.471"
"37518","3","1","676.0","2012-04-24 17:47:36.472"
"37519","1","1","4.37","2012-04-24 17:47:46.569"
"37520","2","1","512.0","2012-04-24 17:47:46.569"
"37521","3","1","675.0","2012-04-24 17:47:46.569"
"37522","1","1","4.29","2012-04-24 17:47:56.584"
"37523","2","1","513.0","2012-04-24 17:47:56.584"
"37524","3","1","671.0","2012-04-24 17:47:56.584"
